,Unnamed: 0,Nurses’ Health,Nurses’ Health.1,Sister,Women’s Health,Total
0,,Studyb,Study IIc,Studyd,Initiativee,
1,Sample size,81 869,61 261,40 647,73 267,257 044
2,Included study period,1982-2016,2013-2017,2003-,1993-2017,1982-
3,,,,2017,,2017
4,"Follow-up time, median (IQR), y",33.2 (20.0-,3.8 (3.5-3.9),9.6 (8.4-,17.4 (8.7-19.9),11.2 (3.9-
5,,34.0),,11.1),,21.0)
6,Age range at assessment for use of powder,35-62,48-68,35-77,49-81,35-81
7,"in the genital area, y",,,,,
8,"Age, median (IQR), y",48 (42-55),58 (54-62),55 (48-,63 (57-69),57 (50-
9,,,,61),,62)
10,All ovarian cancer cases,1258,76,220,659,2213
11,Medically confirmed ovarian cancer cases,1055,37,172,659,1923
12,"Powder use in genital area, %",,,,,
13,Ever,41,26,27,53,39
14,Long-term,,6,6,16,10
15,Frequent,27,26,7,,22
